nombre,diametro_nm,zeta_mV,peg_nm,A · pasiva (adhesión y envolvimiento),B · celular (macrófago de Troya),C · adsortiva (carga positiva),D · mediada por receptor
Liposoma 1,458.42,-27.12,1.38,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 2,179.55,-2.22,3.38,EXCLUIDA,NO EVALUABLE,NO EVALUABLE,NO EVALUABLE
Liposoma 3,627.76,-24.96,2.11,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 4,49.96,-20.35,2.53,EXCLUIDA,EXCLUIDA,EXCLUIDA,EXCLUIDA
Liposoma 5,47.78,-21.04,3.25,EXCLUIDA,EXCLUIDA,EXCLUIDA,EXCLUIDA
Liposoma 6,395.11,-20.28,2.95,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 7,572.32,-27.77,4.03,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 8,497.75,-16.09,0.78,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 9,671.33,-16.22,0.46,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 10,94.8,1.66,3.02,EXCLUIDA,EXCLUIDA,NO EVALUABLE,NO EVALUABLE
Liposoma 11,570.78,-2.46,2.68,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 12,681.99,-14.75,2.76,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 13,585.7,-6.35,4.31,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 14,416.83,-3.34,0.23,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 15,182.69,-17.87,0.4,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 16,185.97,-24.46,1.39,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 17,455.91,-15.23,1.85,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 18,170.37,-18.66,4.68,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 19,464.18,-6.68,0.86,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 20,518.51,-22.28,1.9,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 21,692.98,-5.6,2.78,EXCLUIDA,NO EVALUABLE,NO EVALUABLE,NO EVALUABLE
Liposoma 22,488.69,1.5,3.88,EXCLUIDA,NO EVALUABLE,NO EVALUABLE,NO EVALUABLE
Liposoma 23,183.46,-26.88,1.58,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 24,209.39,-20.62,4.71,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 25,617.17,-16.99,3.28,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 26,295.07,4.01,2.29,EXCLUIDA,NO EVALUABLE,NO EVALUABLE,NO EVALUABLE
Liposoma 27,207.47,-19.37,2.81,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 28,206.04,-7.54,4.49,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 29,297.6,-20.32,4.99,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 30,371.38,-24.82,0.24,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 31,103.46,-6.04,3.96,EXCLUIDA,EXCLUIDA,EXCLUIDA,EXCLUIDA
Liposoma 32,312.85,-25.78,1.91,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 33,697.4,-9.48,4.86,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 34,606.72,-27.6,3.6,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 35,486.75,-9.21,1.33,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 36,459.44,-24.1,2.17,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
Liposoma 37,333.99,5.38,4.38,EXCLUIDA,NO EVALUABLE,NO EVALUABLE,NO EVALUABLE
Liposoma 38,206.47,-10.48,0.89,EXCLUIDA,NO EVALUABLE,EXCLUIDA,EXCLUIDA
